doc_idx,filename,city,county,year,rule_label,llm_majority_label,llm_consistency,llm_reason,text_first_500,human_label,human_notes
2,2011-市政府办公室关于印发城镇污水治理工程建设资金补助与管理办法的通知.docx,宁波市,慈溪市,2011.0,regulatory,incentive,1.0,(keyword fallback),市政府办公室关于印发城镇污水治理工程建设资金补助与管理办法的通知各镇人民政府各街道办事处市政府各部门各直属单位城镇污水治理工程建设资金补助与管理办法已经市政府同意现印发给你们请认真贯彻执行二一一年六月二十八日城镇污水治理工程建设资金补助与管理办法十二五期间我市将继续大力开展截污纳管和污水治理收集管网工程建设并逐步向农村和边缘地区推进为切实加强列入市级财政补助的污水治理工程项目的建设与管理提高财政资金使用效率及污水治理实效进一步推进生态建设和节能减排工作根据关于鼓励城乡污水治理设施投入的若干意见试行慈政发号和慈溪市农村生活污水治理工作实施细则慈政办发号精神特制定本办法一实施补助的污水治理工程项目对象本办法所指列入市级财政补助的污水治理项目为一已由市建设局下达的全市镇级污水连接管网建设工程二按照全市各镇排水专项规划确定的城镇规划区内需要新建设的市政配套污水管网和泵站三全市污水接纳与收集支线工程四农村污水纳管治理工程项目上述污水治理项目由市镇两级财政共同出资建设其中农村污水治理纳管项目由市镇及村三级出资建设市财政全额投资或国有出资的其他污水治理项目仍由各实施主体按照现行政府投资项目有关管理规,incentive,
3,2019-慈溪市发展和改革局关于对工业企业超标排放污水实行多因子分档计收污水处理费的通知.docx,宁波市,慈溪市,2019.0,regulatory,incentive,1.0,(keyword fallback),慈溪市发展和改革局关于对工业企业超标排放污水实行多因子分档计收污水处理费的通知市水务集团有限公司各镇自来水厂为深化环境价格改革完善工业污水处理费形成机制鼓励和引导企业加大污水处理设施投入和污水处理力度促进五水共治进一步推进水环境改善根据浙江省物价局浙江省财政厅浙江省环境保护厅关于加快推进分类分档及多因子计收工业污水处理费的指导意见浙价资号宁波市物价局宁波市城市管理局关于对市区工业企业超标排放污水实行多因子分档计收污水处理费的通知甬价管号和慈溪市人民政府办公室关于印发慈溪市实施门户管理重点排水户管理办法试行的通知慈政办发号等精神经市政府同意决定对我市工业企业超标排放污水实行多因子分档计收污水处理费现将有关事项通知如下一实施范围一市自来水有限公司供水区域内的工业企业用水户和自备水用户二龙山镇匡堰镇横河镇师桥等自来水厂和观海卫镇水务投资有限公司供水区域内的工业企业用水户和自备水用户二现行标准现行工业污水处理费标准印染电镀纸浆皮革和制药等对水环境影响较严重企业每立方米元其他企业每立方米元三多因子分档计收污水处理费办法纳管排放污水的工业企业其排放污水的化学需氧量酸碱度值悬浮物磷酸盐以计氨氮等有害,incentive,
4,2016-慈溪市物价局关于调整城市居民生活污水处理费标准的通知.docx,宁波市,慈溪市,2016.0,regulatory,incentive,0.75,(keyword fallback),慈溪市物价局关于调整城市居民生活污水处理费标准的通知市水务集团有限公司根据国家发展改革委财政部住房城乡建设部关于制定和调整污水处理收费标准等有关问题的通知发改价格号等有关规定结合本市实际经市政府同意决定调整城市居民生活污水处理费标准现将有关事项通知如下一居民污水处理费调整范围和性质市自来水有限公司直接抄表管理的城市居民用户二城市居民污水处理费调整标准由现行元立方米高层二次供水用户趸售元立方米调整为元立方米三本通知自年月起执行慈溪市物价局年月日,incentive,
15,2013-慈溪市发展和改革局关于调整非居民生活用水污水处理费标准的通知.docx,宁波市,慈溪市,2013.0,regulatory,incentive,0.5,(keyword fallback),慈溪市发展和改革局关于调整非居民生活用水污水处理费标准的通知市城市排水有限公司市自来水总公司各镇水厂为确保十二五节能减排目标的实现促进我市经济社会全面协调可持续增发展保障污水处理企业正常运行根据上级有关污水收费的政策规定经调查测算广泛论证报市政府同意决定调整非居民生活用水污水处理费标准现将有关事项通知如下一污水处理费按自来水用水类别实施分类调整非居民生活用水类别分为非经营性用水经营性用水一般工商业对水环境影响较重企业和特种行业用水一非经营性用水包括国家机关事业单位社会团体部队包括武警部队狱政包括劳改劳教等用水二经营性用水是指从事商品生产交换提供有偿服务等非公益性经营活动用水对水环境影响较严重的工业企业包括印染电镀纸浆皮革制造制药冶炼化工废塑加工不锈钢熔炼和金属表面化学处理等用水原则上以工商部门登记的营业执照为准对超范围经营经核实属于上述十类的行业按对水环境影响较严重工业企业处理三特种行业用水包括纯净水及饮料制造业洗车业桑拿浴室美容美发厅洗衣店等用水二调整后的污水处理费标准市自来水总公司供水区域范围内非经营性用水每立方米元经营性用水中一般工商企业每立方米元经营性用水中对水环境较重企业每立,incentive,
19,2024-象山县水利局 宁波市生态环境局象山分局关于印发《象山县中型水库生态流量核定与保障实施方案》的通知.docx,宁波市,象山县,2024.0,informational,regulatory,1.0,(keyword fallback),象山县水利局宁波市生态环境局象山分局关于印发象山县中型水库生态流量核定与保障实施方案的通知象山县中型水库管理中心为加强河湖生态流量管理加快复苏河湖生态环境根据浙江省水利厅关于开展已建大中型水库生态流量核定与保障工作的通知浙水资号等文件要求县水利局联合宁波市生态环境局象山分局组织开展了中型水库生态流量核定与保障相关工作形成象山县中型水库生态流量核定与保障实施方案确定隔溪张水库最小下泄生态流量为溪口水库最小下泄生态流量为仓岙水库最小下泄生态流量为上张水库最小下泄生态流量为或下游号堰坝水位不低于大塘港水库生态基流为水库水位不低于现将方案印发给你们请你单位指导各水库认真贯彻执行象山县水利局宁波市生态环境局象山分局年月日,regulatory,
20,2018-象山县人民政府办公室关于印发象山县第二次全国污染源普查方案的通知.docx,宁波市,象山县,2018.0,regulatory,informational,0.75,(keyword fallback),象山县人民政府办公室关于印发象山县第二次全国污染源普查方案的通知各镇乡政府街道办事处县级有关部门象山县第二次全国污染源普查实施方案已经县政府同意现印发给你们请结合实际认真贯彻执行象山县人民政府办公室年月日象山县第二次全国污染源普查实施方案根据国务院关于开展第二次全国污染源普查的通知国发号国务院办公厅关于印发第二次全国污染源普查方案的通知国办发号浙江省关于开展第二次污染源普查的通知浙政发号浙江省人民政府办公厅关于印发浙江省第二次全国污染源普查方案的通知浙政办发号宁波市人民政府关于开展第二次全市污染源普查的通知甬政发号宁波市人民政府办公室关于印发宁波市第二次全污染源普查方案的通知甬政办发号以及象山县人民政府关于开展第二次全县污染源普查的通知象政发号文件部署要求制订本实施方案一普查工作目标摸清全县各类污染源基本信息数量结构和分布状况掌握区域流域行业污染物产生排放和处理情况建立健全各类污染源档案污染源信息数据库和环境统计平台为加强污染源监管防控环境风险服务环境与发展综合决策提供依据二普查时点对象范围和内容一普查时点普查标准时点为年月日时期资料为年度资料二普查对象范围与内容普查对象为县内有污染源,regulatory,
24,2015-余姚市人民政府办公室关于明确2015年度农村生活污水治理工作目标任务的通知.docx,宁波市,余姚市,2015.0,informational,regulatory,1.0,(keyword fallback),余姚市人民政府办公室关于明确年度农村生活污水治理工作目标任务的通知各乡镇人民政府街道办事处市经济开发区根据余姚市农村生活污水治理三年行动计划和省宁波市下达给我市年度农村生活污水治理的目标任务我市今年要新增个农村生活污水治理达标村需新增万户生活污水接入户根据各乡镇街道的行政村及农户数实际情况经研究决定对年的农村生活污水治理目标任务作出如下分解详见附件请各乡镇街道经济开发区要高度重视农村生活污水治理工作采取有力措施精心组织实施确保全年目标任务的圆满完成附件年农村生活污水治理工作目标任务分解表附件余姚市人民政府办公室年月日此件公开发布抄送市委各部门市人大常委会市政协办公室市人武部市法院市检察院余姚市人民政府办公室年月日印发,regulatory,
37,2019-宁波市生态环境局江北分局关于印发《宁波市江北区国控（省控）考核断面水质治理专项资金使用管理办法》的通知.docx,宁波市,江北区,2019.0,regulatory,incentive,1.0,(keyword fallback),宁波市生态环境局江北分局关于印发宁波市江北区国控省控考核断面水质治理专项资金使用管理办法的通知各街道办事处慈城镇各有关部门为更好发挥财政资金的导向作用提高财政资金使用效益根据宁波市水污染防治行动计划甬政发号宁波市环境保护局宁波市财政局关于印发宁波市国控省控考核断面水质治理专项资金使用管理办法的通知甬政发号以及市区有关财政专项资金管理的有关规定我们制定了宁波市江北区国控省控考核断面水质治理专项资金使用管理办法现印发给你们请遵照执行附件第一条为规范国控省控考核断面水质治理专项资金管理提高财政资金使用效益根据宁波市水污染防治行动计划甬政发号宁波市环境保护局宁波市财政局关于印发宁波市国控省控考核断面水质治理专项资金使用管理办法的通知甬政发号和财政预算管理有关规定制定本办法第二条资金来源本办法所称的江北区国控省控考核断面水质治理专项资金以下简称专项资金是指市财政预算安排的下达我区用于列入国控省控考核断面水质治理和有关污染防治的上级专项资金第三条使用范围列入国控省控考核断面的水质治理列入水十条考核断面水质治理提升项目考核断面汇水区域内水质治理提升项目考核断面水质治理提升相关技术支撑环境管理监测和绩,regulatory,
39,2023-宁波市江北区人民政府办公室关于印发《江北区农村生活污水治理工作考核办法（试行）》的通知.docx,宁波市,江北区,2023.0,regulatory,incentive,0.5,(keyword fallback),宁波市江北区人民政府办公室关于印发江北区农村生活污水治理工作考核办法试行的通知各涉农街道办事处慈城镇各有关单位江北区农村生活污水治理工作考核办法试行已经区政府同意现印发给你们请认真组织实施宁波市江北区人民政府办公室年月日江北区农村生活污水治理工作考核办法试行为贯彻落实浙江省农村生活污水处理设施管理条例浙江省人民政府办公厅关于加强农村生活污水治理设施运行维护管理的意见等文件精神全面评价全区各有关街道镇年度农村生活污水治理工作实效根据省市五水共治考核工作要求特制定本办法一考核对象考核对象为甬江街道庄桥街道洪塘街道前江街道慈城镇二考核原则与方式一考核原则考核工作应坚持遵循规则完善机制推进工作减轻负担注重实效的原则二考核方式根据农村生活污水治理工作实际按照日常工作举措年终听取汇报及现场考核等方式进行三考核内容与标准考核内容分为日常考核占比和年终考核考核占比日常考核内容分为年度目标任务工作成效建设改造质量运行维护质量数字化应用信息报送监督检查终端水质业务培训及加扣分项年终考核内容分为基础信息抽检复核资金管理详见附表各项考核内容均应有证明资料除现场检查内容外其余考核内容均通过江北区城乡排水智慧化管,regulatory,
48,2022-宁波市鄞州区人民政府办公室关于印发鄞州区“五水共治”募捐资金使用管理办法（修订）的通知.docx,宁波市,鄞州区,2022.0,regulatory,incentive,0.5,(keyword fallback),宁波市鄞州区人民政府办公室关于印发鄞州区五水共治募捐资金使用管理办法修订的通知各镇政府街道办事处区政府各部门直属单位鄞州区五水共治募捐资金使用管理办法修订已经区政府第次常务会议审议通过现印发给你们请认真贯彻落实宁波市鄞州区人民政府办公室年月日鄞州区五水共治募捐资金使用管理办法修订第一章总则第一条为进一步加强和规范五水共治募捐资金的使用和管理充分发挥资金的引导作用和使用绩效特制订本办法第二条资金来源与用途资金由鄞州区广大企业个人自愿捐赠在区光彩事业专用资金账户内设立相对独立专户主要用于属地镇街道园区五水共治项目建设无法明确用于属地镇街道园区的捐赠资金统筹用于全区五水共治项目建设第三条资金使用原则资金使用遵循公开透明专款专用规范管理严格监督的原则第二章资金使用范围和标准第四条资金使用范围按照全区五水共治的整体部署和工作要求募捐资金用于全区治污水防洪水排涝水保供水抓节水的五水共治项目主要包括污水管网建设农村生活污水治理黑臭河整治生态河道建设沿河沿岸整治等方面项目按照相关规定进行工程招投标项目可查看可监督见实效第五条资金使用标准一级财政预算管理的镇街道园区需要使用募捐资金的五水共治项目需有自有,regulatory,
