county,tool,count
三门县,regulatory,11
上城区,incentive,1
上城区,regulatory,7
临安,regulatory,4
临平区,incentive,2
临平区,regulatory,10
临海市,informational,1
临海市,regulatory,12
云和县,incentive,3
云和县,informational,3
云和县,regulatory,11
仙居县,regulatory,10
余姚市,incentive,1
余姚市,informational,1
余姚市,regulatory,9
余杭区,incentive,2
余杭区,informational,1
余杭区,regulatory,11
北仑区,regulatory,10
南浔区,regulatory,9
南湖区,regulatory,5
吴兴区,regulatory,6
嘉善县,incentive,1
嘉善县,regulatory,7
奉化区,regulatory,6
宁波前湾新区,regulatory,13
宁波高新区,regulatory,2
宁海县,informational,1
宁海县,regulatory,6
安吉县,regulatory,2
定海区,regulatory,4
富阳区,incentive,2
富阳区,regulatory,7
岱山县,incentive,1
岱山县,regulatory,6
嵊泗县,informational,1
嵊泗县,regulatory,16
常山县,regulatory,7
平湖市,incentive,1
平湖市,regulatory,7
庆元县,regulatory,3
建德,regulatory,8
开化县,incentive,1
开化县,regulatory,1
德清县,regulatory,12
慈溪市,regulatory,17
拱墅区,regulatory,5
普陀区,regulatory,3
景宁县,incentive,2
景宁县,regulatory,14
松阳县,regulatory,9
柯城区,regulatory,2
柯桥区,regulatory,1
桐乡市,regulatory,9
桐庐,regulatory,6
椒江区,regulatory,3
江北区,regulatory,5
江山市,informational,4
江山市,regulatory,10
海宁市,regulatory,6
海曙区,regulatory,4
海盐县,informational,4
海盐县,regulatory,23
淳安,regulatory,6
温岭市,incentive,2
温岭市,regulatory,18
玉环市,regulatory,8
秀洲区,incentive,1
秀洲区,regulatory,4
缙云县,regulatory,7
莲都区,incentive,1
莲都区,regulatory,5
萧山区,regulatory,1
衢江区,regulatory,5
西湖区,incentive,1
西湖区,informational,2
西湖区,regulatory,28
象山县,informational,1
象山县,regulatory,6
路桥区,informational,7
路桥区,regulatory,15
遂昌县,incentive,2
遂昌县,informational,2
遂昌县,regulatory,4
鄞州区,incentive,1
鄞州区,regulatory,23
钱塘区,regulatory,3
镇海区,regulatory,6
长兴县,incentive,1
长兴县,regulatory,11
青田县,informational,1
青田县,regulatory,8
高新（滨江）区,regulatory,7
黄岩区,incentive,2
黄岩区,informational,1
黄岩区,regulatory,5
龙泉市,regulatory,8
龙游县,regulatory,3
