year,tool,count
1991,regulatory,1
2003,incentive,1
2004,regulatory,1
2005,regulatory,2
2006,regulatory,1
2007,incentive,1
2007,regulatory,2
2008,regulatory,3
2009,regulatory,4
2010,incentive,1
2010,regulatory,4
2011,regulatory,7
2012,regulatory,4
2013,incentive,1
2013,informational,2
2013,regulatory,14
2014,incentive,4
2014,informational,3
2014,regulatory,49
2015,incentive,2
2015,informational,3
2015,regulatory,32
2016,informational,5
2016,regulatory,65
2017,informational,5
2017,regulatory,55
2018,incentive,3
2018,informational,4
2018,regulatory,54
2019,informational,2
2019,regulatory,37
2020,incentive,5
2020,informational,1
2020,regulatory,50
2021,incentive,2
2021,informational,2
2021,regulatory,49
2022,incentive,4
2022,informational,1
2022,regulatory,28
2023,incentive,3
2023,informational,1
2023,regulatory,33
2024,incentive,1
2024,informational,1
2024,regulatory,22
